Issue Id,Parent Id,Issue Type,Summary,Description,Priority,Status,Story Points,Component,Epic Name,Assignee,Sprint,Labels,Labels,Labels,Labels,Labels
54,53,Task,Configurar la identidad de git en las máquinas del equipo,"Cinco commits quedaron con el autor por defecto 'Your Name <your-email@example.com>' y el initial import como 'GitHub Copilot'. Sin corregir la configuración, los commits nuevos seguirán saliendo igual y el criterio 1.2 no puede atribuir el trabajo.

*Criterios de aceptación:*
- git config user.name y user.email fijados en las dos máquinas antes del siguiente commit
- Verificado con: git log -1 --format='%an <%ae>'
- Los commits afectados quedan declarados en la autocrítica de GITFLOW.md con su autor real
- NO se reescribe la historia publicada: rompería los hashes citados en toda la documentación

*Evidencia:* entrega/01-analisis/GITFLOW.md sección 8

*Rúbrica:* 1.2",Highest,To Do,1,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
55,53,Task,Integrar limpieza de código y configuración,"Rama feature/limpieza-codigo-y-configuracion, 5 commits.

*Criterios de aceptación:*
- chore(repo): eliminar directorio duplicado matchpoint/matchpoint
- refactor(matchpoint): retirar comentarios redundantes del código fuente
- refactor(users): retirar comentarios redundantes y ajustar recursos de prueba
- chore(infra): ajustar docker-compose, Dockerfiles y variables de entorno
- chore(gateway): afinar configuración de nginx y cabeceras de proxy
- Merge --ff-only a develop y rama publicada en origin

*Rúbrica:* 1.2",Highest,To Do,3,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
56,53,Task,Integrar herramientas de demostración,"Rama feature/herramientas-de-demo, 2 commits. scripts/cognito-token.sh nunca se commiteó.

*Criterios de aceptación:*
- feat(scripts): añadir obtención de token de Cognito desde terminal
- chore(postman): actualizar colección y environment de la demo
- Merge --ff-only a develop y rama publicada en origin

*Rúbrica:* 1.2",High,To Do,2,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
57,53,Task,Integrar documentación técnica del proyecto,"Rama feature/documentacion-tecnica, 3 commits. MODELO-ER.md, docs/er/ y DEMO.md nunca se commitearon.

*Criterios de aceptación:*
- docs: añadir modelo entidad-relación con diagramas exportados
- docs: añadir guion de demostración paso a paso
- docs: actualizar README con logging, cobertura y modelo de datos
- Merge --ff-only a develop y rama publicada en origin

*Rúbrica:* 1.2",High,To Do,2,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
58,53,Task,Integrar la documentación de la entrega P02,"Rama feature/entrega-p02, 3 commits. Toda la carpeta entrega/.

*Criterios de aceptación:*
- docs(entrega): añadir requerimientos, casos de uso, GitFlow, pruebas y ADR
- docs(entrega): añadir arquitectura empresarial, computación en la nube y emprendimiento
- docs(entrega): añadir guion de sustentación y backlog importable a Jira
- Merge --ff-only a develop y rama publicada en origin

*Rúbrica:* 1.2",Highest,To Do,3,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
59,53,Task,Actualizar main con el estado de develop,"main está en 2414dd7, cinco commits por detrás. Cada llegada a main equivale a una entrega.

*Criterios de aceptación:*
- git merge --ff-only develop desde main
- git push origin main
- Verificado: git log --oneline origin/main..origin/develop devuelve vacío

*Rúbrica:* 1.2",High,To Do,1,infra,,Josué Herrera,Sprint 6,git,gitflow,,,
60,,Epic,App móvil Android,"Cliente Android nativo en Kotlin que consume la misma API por el gateway, con login de Cognito. NOTA: lo desarrolla otro integrante. Si ya lo lleva en su propio tablero, borrar esta épica y sus historias antes de importar.",High,To Do,,movil,App móvil,,Sprint 7,movil,android,,,
61,60,Story,Autenticación con Cognito desde la app,"Login contra el User Pool y almacenamiento seguro del token, con renovación antes de expirar.

*Rúbrica:* 2.2",Medium,To Do,8,movil,,,Sprint 7,movil,android,,,
62,60,Story,Catálogo de canchas y búsqueda de disponibilidad,"Pantalla pública que consume GET /matchpoint/courts/available con filtros por sector, deporte y franja horaria.

*Rúbrica:* 2.1 2.2",Medium,To Do,8,movil,,,Sprint 7,movil,android,,,
63,60,Story,Flujo de reserva con validaciones de formulario,"Formulario de reserva con validación de campos y manejo de los códigos 409 de solapamiento y cancha inactiva.

*Rúbrica:* 2.3",Medium,To Do,8,movil,,,Sprint 7,movil,android,,,
64,60,Story,Mis reservas y cancelación,"Listado de reservas propias y cancelación desde la app.

*Rúbrica:* 2.1",Medium,To Do,5,movil,,,Sprint 7,movil,android,,,
65,60,Story,Vista del cuadro de torneo,"Visualización del cuadro por rondas, con marcadores y campeón.

*Rúbrica:* 2.1 2.4",Medium,To Do,8,movil,,,Sprint 7,movil,android,,,
66,,Epic,Despliegue en la nube (AWS),"Llevar el sistema contenedorizado a AWS por fases, según la arquitectura diseñada en el criterio 4.3.",Medium,To Do,,infra,Despliegue AWS,,Backlog,cloud,aws,devops,,
67,66,Story,Fase 1: EC2 con Docker Compose y RDS Single-AZ,"Primer despliegue real con URL pública y base gestionada. Estimado: 1 día.

*Criterios de aceptación:*
- Instancia EC2 con Docker y la imagen desde ECR
- RDS PostgreSQL 16 Single-AZ, accesible solo desde el grupo de seguridad de la app
- Secretos en Secrets Manager, no en .env
- Registro DNS y certificado TLS
- Costo objetivo: 40 USD/mes",Highest,To Do,8,infra,,,Backlog,cloud,aws,,,
68,66,Story,"Fase 2: ALB, Auto Scaling Group y RDS Multi-AZ","Alta disponibilidad y escalado automático. Estimado: 3 días.

*Criterios de aceptación:*
- VPC con subredes públicas, privadas de aplicación y de datos, en dos AZ
- Grupos de seguridad encadenados por referencia, no por CIDR
- ALB con TLS y enrutamiento por prefijo de ruta
- ASG con mínimo 2, deseado 2, máximo 6; escala a CPU > 70 % durante 5 minutos
- RDS Multi-AZ con conmutación automática
- Costo objetivo: 127 USD/mes",High,To Do,13,infra,,,Backlog,cloud,aws,,,
69,66,Story,Pipeline CI/CD con despliegue azul-verde,"Automatizar build, pruebas y despliegue sin indisponibilidad. Estimado: 3 días.

*Criterios de aceptación:*
- El pipeline ejecuta ./gradlew check antes de construir la imagen
- Imagen etiquetada por versión y publicada en ECR
- Despliegue azul-verde con reversión a la imagen anterior en 5 minutos",Medium,To Do,8,infra,,,Backlog,cloud,aws,,,
70,66,Story,Integración continua con GitHub Actions,"Convertir la regla 'nada se mezcla en rojo' en algo que el repositorio hace cumplir. Deuda técnica reconocida.

*Criterios de aceptación:*
- Workflow que ejecuta ./gradlew check en cada push y en cada pull request
- El check bloquea el merge si falla
- Reporte de cobertura publicado como artefacto",High,To Do,5,infra,,,Backlog,cloud,aws,,,
71,66,Story,Migraciones versionadas con Flyway,"Sustituir ddl-auto=update por migraciones reversibles. Deuda técnica reconocida.

*Criterios de aceptación:*
- Esquema inicial como migración V1
- ddl-auto pasa a validate
- Cada cambio de esquema es una migración versionada y revisable en el diff",High,To Do,5,infra,,,Backlog,cloud,aws,,,
72,66,Story,Centralización de logs y alarmas en CloudWatch,"Los contenedores ya escriben a stdout: solo falta el agente y las alarmas.

*Criterios de aceptación:*
- Logs de los contenedores en CloudWatch Logs
- Alarmas de CPU, errores 5xx y latencia del ALB
- Las alarmas de CPU disparan la política de escalado",Medium,To Do,5,infra,,,Backlog,cloud,aws,,,
73,,Epic,Producto y modelo de negocio,"Funcionalidades que convierten el backend en un negocio: monetización, retención y captación.",Medium,To Do,,producto,Producto y negocio,,Backlog,producto,negocio,,,
74,73,Story,Reporte mensual de ocupación para el dueño de cancha,"Es la herramienta de retención: le muestra en números lo que gana con la plataforma. El dato ya se registra en reservations y audit_log; falta la consulta y la vista.

*Criterios de aceptación:*
- Horas ocupadas y horas muertas por cancha y por franja
- Ingreso estimado del mes y comparación con el anterior
- Envío automático el primer día de cada mes",Highest,To Do,8,producto,,,Backlog,producto,negocio,,,
75,73,Story,Integración de pasarela de pagos local,"Habilita la comisión del 5 % sobre reservas pagadas en línea (fase 2 del modelo de ingresos).

*Criterios de aceptación:*
- Pago en línea opcional al crear la reserva
- La reserva queda provisional hasta confirmar el pago
- Conciliación y reporte de comisiones
- Nota: la pasarela cobra ~3,5 %; el margen neto de la comisión es delgado y por eso la suscripción sigue siendo el modelo principal",High,To Do,13,producto,,,Backlog,producto,negocio,,,
76,73,Story,Precio sugerido por franja horaria,"Con el histórico de ocupación, sugerir al dueño un precio por franja para llenar horas muertas.

*Criterios de aceptación:*
- Análisis de ocupación por cancha, día de la semana y hora
- Sugerencia de precio con el impacto estimado en ocupación
- El dueño acepta o rechaza; nunca se cambia el precio automáticamente",Medium,To Do,13,producto,,,Backlog,producto,negocio,,,
77,73,Story,Emparejamiento de jugadores sueltos,"El caso más frecuente en cancha de barrio: cinco personas quieren jugar y no son diez. Es lo que genera el efecto de red del lado de la demanda.

*Criterios de aceptación:*
- Un jugador publica una convocatoria con cancha, fecha y cupo
- Otros jugadores se suman hasta completar el cupo
- Al completarse, la reserva se confirma sola y el costo se divide
- Se apoya en el modelo de reservas ya construido: es una reserva provisional",Medium,To Do,13,producto,,,Backlog,producto,negocio,,,
78,73,Story,Modo sin conexión en la app móvil,"En la cancha la señal es mala. El backend ya lo soporta sin cambios porque es stateless y el token es autocontenido.

*Criterios de aceptación:*
- La app cachea el catálogo consultado
- La reserva se encola si no hay señal y se envía al recuperarla
- El usuario ve claramente el estado: encolada, enviada, confirmada o rechazada",Low,To Do,8,producto,,,Backlog,producto,negocio,,,
79,73,Story,Captación de las 10 canchas fundadoras,"Actividad clave de la fase 1: sin inventario no hay producto. Venta directa en cancha.

*Criterios de aceptación:*
- 10 dueños dados de alta con sus canchas y horarios cargados
- Seis meses gratis a cambio de retroalimentación semanal
- Concentradas en un solo sector de la ciudad para lograr densidad
- Meta de uso: más de 25 reservas por cancha al mes",Highest,To Do,8,producto,,,Backlog,producto,negocio,,,
80,73,Story,Soporte de deportes adicionales,"El enum SportType ya está preparado; hoy solo expone BASKET. Amplía el mercado direccionable.

*Criterios de aceptación:*
- Nuevos valores en SportType con su tipo de piso asociado
- Filtros del catálogo y de disponibilidad funcionando por deporte
- Sin migración destructiva de datos existentes",Low,To Do,5,producto,,,Backlog,producto,negocio,,,
